name	postindex	address	contact	latitude	longitude	unk1	unk2	image_url	unk3	unk4
ПЧ-71	54015	г. Пласт, ул. Октябрьская, 75	8 351 60 2-21-08 (Начальник ЧЕРНЫШОВ Александр Сергеевич)	54.350002	60.818604	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-17	54021	г. Южноуральск, ул. Спортивная, 17	8-351-63 3-49-01, 5-94-54 (Начальник КАРПОВ Евгений Николаевич)	54.448999	61.278002	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-38	54025	г. Кыштым, ул. Чернышевского, 6	8-351-51 4-74-43 (Начальник КИСЕЛЕВ Николай Анатольевич)	55.706898	60.548885	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-69	54033	г. Нязепетровск, ул. Пушкина, 5	8-351-56 3-12-57 (Начальник ВИКУЛОВ Павел Борисович)	56.047600	59.587499	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ «9 ОФПС по Челябинской области»	54036	г. Карталы, ул. Братьев Кашириных, 11	8-351-33 239-71-53, 2-24-44 (Начальник ТРЕСКОВ Сергей Владимирович)	53.058634	60.662854	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть №1 ФГКУ  «ОФПС по Рязанской  области» 	54038	г. Рязань, ул. Семинарская, 11<br />	8-960-574-37-79 (Дианов Виталий Николаевич)	54.632228	39.738055	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-58	54042	с. Варна, пер. Пионерский, 12	8 351 42 2-14-69 (Начальник РАКАЕВ Марат Рамильевич)	53.386900	60.959999	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-62	54044	г. Карталы, ул. Братьев Кашириных, 11	8 351 33 2-22-46 (Начальник ПАВЛОВ Денис Александрович)	53.058634	60.662854	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Отдельный пост №16 ПЧ-26 ГКУ Рязанской области «Рязанская областная противопожарно-спасательная служба»	54049	Клепиковский район, с. Криуша, ул. 1-я Мая, д.2<br />	8-910-509-70-06 (Сергеев Александр Константинович)	54.951172	39.962499	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-10	54051	г. Сим, ул. Пушкина, 6	8 351 59 7-89-80 (Начальник МОШКИН Сергей Леонтьевич)	54.982698	57.685702	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-14	54053	г. Катав-Ивановск, ул. Дм. Тараканова, 46	8-351-47 2-39-51 (Начальник БОЧКАРЕВ Владимир Борисович)	54.753601	58.198497	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-75	54057	г. Усть-Катав, ул. Строителей, 8	8 351 67 3-12-01 (Начальник САЛИЙ Владислав Викторович)	54.928898	58.155593	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-1	54059	ул. Тульская, 130	(4842) 73-57-01 8-910-705-31-78 (Начальник  майор вн. службы  Друщиц Юрий Алексеевич)	54.513025	36.297247	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФКУ 4 ОФПС	54061	г. Тюмень                                        ул. Кедровая, 125	8(3452)48-26-00 Кряжева Юлия Сергеевна	57.153732	65.672579	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-4	54063	г. Людиново ул. Урицкого, 12-а 	(48444) 6-22-00 8-910-913-34-40 (Начальник  лейтенант вн. службы Юрчиков Владимир Сергеевич)	53.862903	34.438102	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 8 ОФПС	54066	г. Тобольск 4 мкр., д.56	8(3456) 25 19 92 Терехов Вячеслав Александрович	58.205188	68.324935	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 24 ОФПС	54075	г. Ялуторовск ул. Бахтиярова 32	(34535) 2 60 64 Кузнецова Екатерина Владимировна	56.637798	66.273498	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ «146 ПЧ ФПС по Тюменской области»	54087	с. Ярково, ул. Пионерская, 80	8-345 590-261 (Хримучков Олег Васильевич, Майор вн.службы, Зам начальника ПЧ по работе с кадрами)	57.401287	67.069998	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
118 ПЧ 1 ОФПС	54091	Ханты-Мансийский автономный округ-Югра, г. Сургут, ул. Фармана Салманова, 4<br />	7-3462-52-58-11, Змановский Виталий Сергеевич,  заместитель начальника  118 ПЧ 1 ОФПС  	61.241112	73.465688	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
35 ПЧ 2 ОФПС 	54093	г. Лянтор,<br />ул. Магистральная,18 А<br />	Тел. (34638)28689 Факс (34638)23494 Пузырев Владимир Николаевич	61.625101	72.176300	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ 111 ФГКУ 19 ОФПС	54068	п.Винзили ул.Заводская, 17	Р.т. 8(3452) 728-152; с.т. 926239 Пятых Ирина Александровна	56.952799	65.769004	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 23 ОФПС	54070	с. Уват, ул. Ленина 54<br />	83456128156-рабочий; 83456125425-домашний (Пономарева Мария Сергеевна  Л-т вн.службы, ст.инспектор ОКиВР ФГКУ «23 ОФПС по Тюм. Обл»)	59.143993	68.893120	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
74 ПЧ 3 ОФПС	54095	Ханты-Мансийский автономный округ-Югра, г. Когалым, ул. Бакинская, 2<br />	7-34667-6-54-15, (Брасленко Светлана Юрьевна,  инженер ГПП  74 ПЧ 3 ОФПС  )	62.261799	74.460896	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
42 ПЧ 5 ОФПС	54099	Ханты-Мансийский<br />автономный округ-Югра,<br />г.Нижневартовск,<br />ул. Интернациональная, 63<br />	7-3466-46-92-00, Камалов Л.Ю.,  заместитель начальника части - начальник группы по кадровой и воспитательной работе 42 ПЧ  5 ОФПС, капитан внутренней службы  	60.942142	76.615379	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
73 ПЧ 5 ОФПС 	54101	г.Радужный,<br />ул. Новая, 4<br />	Тел. (34668) 3-77-54 Факс  (34668) 3-96-91 Ракивин О.А	62.128201	77.437904	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
84 ПЧ 6 ОФПС 	54105	г. Пыть-Ях, <br />3 мкрн., 14 «А»<br />	Тел. (3463) 465-285 Факс (3463) 462-285 Легостаев Виктор Вадимович	60.752000	72.780804	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 25 ОФПС	54077	г. Заводоуковск ул.Шоссейная,117	8(34542) 2-34-53 Дубовец Сергей Иванович	56.510701	66.532796	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
119 ПЧ ФГКУ 26 ОФПС	54081	с. Омутинское, ул. Мелиораторов, 1	8 (34544) 3- 33- 81 (Демидова Наталья Александровна, Инспектор  по основной деятельности)	56.467598	67.695603	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
4 ПЧ 9 ОФПС	54109	г. Югорск, ул. Мира, 75 Сиволобцева Юлия Валентиновна		61.319300	63.315399	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
9 ПЧ	54111	Ханты-Мансийский автономный округ-Югра, г. Белоярский, пер. Северный, д.1	7+34670-2-68-32, Павлюхин А.Е.  заместитель начальника 9 ПЧ  капитан вн. службы.  	63.714502	66.678099	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
96 ПЧ 10 ОФПС 	54115	г. Покачи, ул. Таежная,13	(34669) 7-21-30 Набиев Элсевар ганбар оглы	61.746401	75.598001	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
12 ПЧ 14 ОФПС 	54121	г. Мегион,<br />ул. Кузьмина, 55<br />	Тел. (34643) 4-64-55 Факс (34643) 4-64-55 Киселев Павел Алексеевич	61.039199	76.087700	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
50 ПЧ 16 ОФПС	54123	Ханты-Мансийский автономный округ-Югра, г. Покачи, Промышленная зона ЦППН	+7-34669-3-90-04, Ковалевский Николай  Евгеньевич,  начальник караула 50 ПЧ 16 ОФПС,  лейтенант внутренней службы  	61.713331	75.359463	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
136 ПЧ 17 ОФПС 	54125	Сургутский район,<br />п.Тром-Аган,<br />ул. Родниковая, 2<br />	Тел./факс (3462) 42-48-90 Сафронов Константин Валентинович	61.679251	74.310608	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 27 ОФПС	54083	с. Голышманово, ул. Вокзальная, 85<br />	8 34546 261-90 (Лещева Ольга Михайловна, Инспектор  по основной деятельности 110 ПЧ ФПС)	56.390699	68.382104	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 32 ОФПС	54085	г. Тюмень ул. Чекистов, 33	590-795 988308 Борисова Елена Александровна	57.118990	65.651657	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Учебная пожарная часть Учебного центра	54127	Ханты-Мансийский автономный округ-Югра,  г. Сургут, ул.Автомобилистов, д. 11	7+3462-51-84-31, Савин Евгений Игоревич,  заместитель начальника учебной ПЧ,  капитан внутренней службы  	61.294647	73.317960	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
4 ПЧ 13 ОФПС 	54133	г. Ноябрьск, м-н Вынгапуровский, Промзона, панель №1.	(3496) 37-82-07 – ПСЧ ф: (3496) 37-82-07 – ПСЧ Роккель  Андрей Георгиевич	63.193798	75.502501	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
24 ПЧ  ФГКУ «19 отряд ФПС по Приморскому краю»	54183	г.Артем, ул. Кооперативная, 2	8(42337)4-26-01 (Начальник части, полковник в/с, Земсков А.В)	43.357203	132.184004	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
26 ПЧ ФГКУ «6 отряд ФПС по Приморскому краю»	54185	г. Партизанск, ул. М.Горького, 1<br />	8(42363)6-23-97 (Зам.начальника части, старший лейтенант в/с, Горпенко Семен Александрович)	43.118800	133.126004	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
2 ПЧ ФПС, 3 ПЧ ФПС	54129	г. Надым,<br />Ул. Проезд 1 д. 1<br />	8(3499)53-52-21 8(3499)56-69-83 8 (3499)53-65-40ф. А.В. Кудинов, 8(3499)56-69-83 8 (3499)53-65-40ф. В.А. Тищенко	65.535421	72.543496	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
84 ПЧ ФГКУ «6 отряд ФПС по Приморскому краю»	54187	г.Партизанск, с. Углекаменск, ул. Калинина, 32 Б<br />	8(42363)6-11-44 (Зам.начальника части, старший лейтенант в/с, Юлин Александр Юрьевич)	43.114483	133.137907	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
23 ПЧ ФГКУ «20 отряд ФПС по Приморскому краю»	54191	г. Спасск-Дальний, ул. Советская, 50<br />	8(42352)2-53-13 (Начальник отряда, подполковник в/с, Нестреляй Юрий Анатольевич)	44.603102	132.820999	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
32 ПЧ  ФГКУ «7 отряд ФПС по Приморскому краю»	54199	г. Уссурийск, ул.Ленина, 143	8(42341)33-49-06 (Начальник части, капитан в/с, Маслянко П.Н)	43.802205	131.975810	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
33 ПЧ ФГКУ «7 отряд ФПС по Приморскому краю»	54201	г. Уссурийск, ул. Раковская, 2а	8(42341)38-19-58 (Начальник части, Конончук С.В)	43.792900	131.985000	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
34 ПЧ ФГКУ «7 отряд ФПС по Приморскому краю»	54203	г. Уссурийск, ул. Новонекольский проезд, 1а<br />	8(42341)34-62-44 (Начальник части, Жук В.М)	43.802205	131.975810	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ «7 ПЧ ФПС по Амурской области»	54223	г. Завитинск, ул. Куйбышева, д.87<br />	8-914-043-28-92 (Заместитель начальника части, майор в/с, Гольц К.Л)	50.108200	129.437998	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
7 ПЧ	54135	г. Новый Уренгой,<br />Геологоразведчиков, 3<br />	8(3494) 23-14-37 8(3494) 23-14-37 Морозова  Елена Викторовна 	66.086399	76.694700	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
9 ПЧ	54137	г. Новый Уренгой,<br />Западная промзона,<br />ул. Магистральная<br />	8(3494) 23-14-37 8(3494) 23-14-37 Пауль  Ирина Александровна 	66.076499	76.526203	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-2 ФГКУ «1 ОФПС по РС (Я)»	54143	г.Томмот, ул. Укуланская,93<br />	8(41145)41-5-93, 41-2-66 (Начальник части, майор в/с, Щербаков Сергей Викторович)	58.955607	126.270574	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ № 6 ФГКУ  «ОФПС по ЕАО» 	54251	г. Облучье, ул. Денисова, 29<br />	8 (42666) 4-29-45 (Начальник части, Зайцев Евгений Николаевич)	49.008800	131.058002	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 28 ОФПС по МО, ПЧ-5	54253	Сергиево-Посадский р-он, г. Краснозаводск, ул. Красной армии, д.1	(Назаров Сергей Анатольевич, капитан вн.сл., заместитель начальника части)	56.448190	38.217207	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
10 ПЧ	54141	г. Новый Уренгой,<br />р-он Коротчаево, промбаза <br />СМП-522	8(3494) 24-70-01 8(3494) 24-70-01 Багиров Игорь Айдын-оглы	66.094159	76.702516	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ 28 ОФПС по МО, ПЧ-87	54255	г.Сергиев-Посад, ул.Центральная д.2	(Воронцов Роман Николаевич, подполковник вн.сл.,  начальник части)	56.294046	38.151522	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Клинский гарнизон пожарной охраны. 37 специализированная часть по тушению крупных пожаров	54257	Клинский гарнизон пожарной охраны.37 специализированная часть по тушению крупных пожаров. М.О., г. Клин, ул. Московская, д. 33	7+496-441-23-58,Ватутин Андрей Васильевич  подполковник внутренней службы,  Врид.начальника ФГКУ «13 ОФПС по Московской области»  	56.328494	36.725015	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Воскресенский гарнизон пожарной охраны, 2 пожарная часть	54259	г. Воскресенск, ул. Цесиса д.13	8496-441-23-58 (Гребцов Дмитрий Владиславович, капитан внутренней службы, и.о. начальника 2-ПЧ)	55.306799	38.655396	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
14  ПЧ	54146	г. Лабытнанги<br />ул. Автострадная, 28<br />	8(34992) 2-15-96 8(34992) 2-19-11 Вилисова Анна Анатольевна	66.668599	66.356403	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-1 ФГКУ «2 ОФПС по РС (Я)»	54150	г.Ленск, ул. Победы,69	8(41137)24-8-31 (Психолог группы КВР, старший лейтенант в/с, Юркина Надежда Константиновна)	58.596201	125.373004	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Воскресенский гарнизон пожарной охраны, 314 пожарная часть 	54261	Воскресенский район пос. Хорлово мкр. Фосфоритный промплощадка стр.4	8496-444-34-55 (Дульцев Владимир Валентинович, начальник ПЧ-314)	55.331761	38.889165	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Воскресенский гарнизон пожарной охраны, 209 пожарная часть	54263	Воскресенский район пгт. Белоозерский ул. Коммунальная д.5	8496-445-14-30 (Тарасов Виктор Николаевич Начальник ПЧ-209)	55.457669	38.445738	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Воскресенский гарнизон пожарной охраны 210 пожарная часть	54265	Воскресенский район с. Барановское ул. Центральная д.131	8496-44531-01 (Береснев Игорь Геннадиевич Начальник ПЧ-210)	55.401601	38.760499	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ « 17 ОФПС по Московской области», 61 Пожарная часть	54267	г.Можайск ул.Мира д.95	8-926-824-88-27 (Капралов П.Ю., Зам.Начальника ПЧ-61, ст.лейтенант внутренней службы)	55.504751	36.044479	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Химкинский ГПО,  1 пожарная часть	54269	г. Химки, ул. Ленинградская, д. 13	8-916-708-19-20 (Лукьянов Денис Алексеевич, майор внутренней службы заместитель начальника 1 пожарной части)	55.888982	37.440739	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-4 ОФПС-1 г. Мурманск	53252	г. Мурманск, ул. Старостина,103	26-96-03 (Пьянков Виктор Иванович)	68.981327	33.111587	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть №1 по охране Ленинского района г. Оренбурга ФГКУ «9-й отряд ФПС по Оренбургской области»	53011	г. Оренбург ул. Луговая 78/а	8 (3532) 33-20-19 (начальник пожарной части №1 подполковник вн. службы Забиров Руслан Ганиевич)	51.783969	55.159199	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
1 ПЧ ФПС	54148	г. Салехард,<br />ул. Броднева, д.44<br />	8(34922)3-54-77 8(34922)3-53-39 ф. Мукасеев Алексей Николаевич  	66.539699	66.640900	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть №42	53013	г. Пенза, Виноградный пр-д, 9	(8412) 95-26-02, 94-45-00 подполковник вн. сл. Козлов Д.П. (8412) 94-64-17	53.221285	44.935294	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
4-ПЧ, 8-СЧ	53015	4-ПЧ г. Пермь, ул. Каменского,2, 8-СЧ г. Пермь, ул. Балхашская,135	8(3422)22-40-28 (Заморин Виталий Сергеевич), 8 (342) 282-42-68 (Балуев Юрий Алексеевич)	57.999663	56.166597	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-1	53032	г. Ижевск, ул. Карла Либкнехта, 46	(8-341-2) 68-15-33 (Кулемин Павел Сергеевич)	56.838253	53.231954	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-2	53034	г. Ижевск, ул. Коммунаров, 323	(8-341-2) 60-66-57 (Ральников Алексей Васильевич)	56.859758	53.216215	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-3	53036	г. Ижевск, ул. Школьная площадь, 15	(8-341-2) 74-16-56 (Метелева Марьяна Анатольевна)	56.866977	53.184900	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-4	53038	г. Ижевск, ул. Салютовская, 67	(8-341-2) 46-25-10 (Архипов Андрей Викторович)	56.882181	53.267123	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-13	53040	г. Сарапул, ул. Азина, 166а	(8-341-47) 4-06-49 (Зидыганов Юрий Владимирович)	56.445802	53.797201	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФКУ «6 ОФПС ГПС по ЯНАО 	54152	г. Губкинский<br />промзона,<br />панель №6<br />	"8 (34936) 5-26-14 8 (34936) 5-39-44 1.	Браун И.В"	63.208999	75.498396	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-14	53042	г. Воткинск, ул. Королева, 2	(8-341-45) 3-67-11 (Галичанин Алексей Николаевич)	57.046102	54.002098	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-17	53044	г. Глазов, ул. Пряженникова, 14	(8-341-41) 2-89-50 (Дряхлова Анна Александровна)	58.135199	52.659197	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-19	53046	г. Ижевск, ул. Ленина, 111	(8-341-2) 68-93-74 (Иовлев Дмитрий Сергеевич)	56.853218	53.278253	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-22	53048	г. Можга, ул. Можгинская, 120	(8-341-39) 3-18-49 (Осташев Денис Валерьевич)	56.435800	52.210201	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-23	53051	г. Камбарка, ул. Сосновый бор, 2	(8-341-53) 3-33-50 (Илекбаев Дмитрий Игнатьевич)	56.269321	54.206976	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-30	53063	с. Завьялово, ул. Гольянская, 1	(8-341-2) 62-11-01 (Князев Александр Васильевич)	56.788623	53.377229	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-44	53092	п. Яр, ул. Флора Васильева, 46 	(8-341-57) 4-12-56 (Наумов Роман Михайлович)	58.122701	52.672896	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
12 ПЧ ФПС	54157	г. Губкинский, промзона, <br />6 панель<br />	8 (34936) 5-10-27 (2224) – служебный, ф: 8(34936) 5-25-77 Шихалиев Рамазан Каирбекович	64.427800	76.386201	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-1 ФГКУ «4 ОФПС по РС (Я)»	54165	г. Нерюнгри, ул. Строителей, 21	8 (41147)68-9-01 (Зам. начальника ПЧ, лейтенант в/с. Лиханов Олег Леонидович)	56.661398	124.741004	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть №1 по охране Ленинского района г. Оренбурга ФГКУ «9-й отряд ФПС по Оренбургской области»	53102	г. Оренбург ул. Луговая 78/а 	8 (3532) 33-20-19 (Начальник пожарной части №1 подполковник вн. службы Забиров Руслан Ганиевич)	51.783969	55.159199	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть №42-й	53104	г. Пенза, Виноградный пр-д, 9	(8412) 95-26-02, 94-45-00, (8412) 94-64-17 (Подполковник вн. сл. Козлов Д.П.)	53.221285	44.935294	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
6 ПЧ ФПС	54159	г. Муравленко,<br />ул. Губкина д. 51<br />	8 (34938) 43-2-74 8 (34938) 24-5-57 Бондарь Елена Владимировна	63.793402	74.507500	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГКУ «11ПЧ ФПС по ЯНАО»	54167	Пуровский район<br />г. Тарко-Сале<br />ул. Таежная д. 23<br />	8(34997)21077служебный 8(34997)63310 факс Винцевич Евгений Владимирович 	64.908100	77.758899	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
47-ПЧ	53106	г. Чайковский, ул. Советская, 23<br />	8 (3424) 16-29-20 (Ведров Сергей Викторович)	56.759227	54.127251	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-9  по обслуживанию ОАО &quot;Саратовский НПЗ&quot;	53112	г. Саратов, ул. Брянская, 1	8 (8452) 47-32-21 (Начальник части полковник вн.сл. Качев И.Н), 8 (8452) 74-14-00 (Начальник отдела информации и связи с общественностью капитан вн.сл.  Куличенкова Н.С)	51.461680	45.932747	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-53 ОФПС-8 	53114	г. Зеленодольск,  ул. Чайковского, 52	89274-02-13-11 (Ст. инспектор отделения профилактики пожаров ОФПС-8 по РТ, майор вн.сл., Юсупова Резеда Рафкатовна)	55.855800	48.524602	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-52 ОФПС-8	53116	г. Зеленодольск ул.Наумова, 2а 	89274-02-13-11 (Ст. инспектор отделения профилактики пожаров ОФПС-8 по РТ, майор вн.сл.,   Юсупова Резеда Рафкатовна)	55.847765	48.519679	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
92-ПЧ ГУ «38 ОФПС»	53118	г. Отрадный  ул. Советская, 101	8 (846-61) 2-57-88; 8-927-758-38-93 (Заместитель начальника 62-ПЧ ГУ «38 ОФПС» младший лейтенант вн. службы Ершов Юрий Игориевич)	53.379300	51.364797	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
1-ПЧ ГУ «3 ОФПС»	53120	г. Самара  ул. Чернореченская, 101	8 (846) 338-26-56; 8 (846) 338-37-17; 8-927-711-74-86 (Начальник 1-ПЧ ГУ «3 ОФПС» подполковник вн. Службы Томилин Павел Петрович)	53.195738	50.136422	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть №5 ФГКУ «5 отряд ФПС по Чувашской Республике – Чувашии»	53124	г.Чебоксары, ул. Мичмана Павлова, д.21	(Начальник пожарной  части №5 ФКУ «5 отряд ФПС по Чувашской Республике – Чувашии» майор внутренней службы Владимиров Алексей Мефодьевич)	56.140003	47.177201	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФКУ «7 ОФПС ГПС по ЯНАО»	54163	г. Муравленко,<br />ул. Губкина <br />д. 51 «а»<br />	8 (34938) 43-2-74 8 (34938)  24-5-57 Сидорова Анна Владимировна	63.793402	74.507500	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-1 ФГКУ «5 ОФПС по РС (Я)»	54169	г. Якутск, ул. Дзержинского, 35	8(4112)22-34-70 (Начальник части, майор в/с, Козлов Денис Олегович)	62.050901	129.738996	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
5 ПЧ	53141	г. Омск, ул. Железнодорожная 1-я, 5	8-(3812) 54-79-68 (Начальник части - Насекин С.В.)	54.942175	73.432513	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть по охране объектов ТПУ	53143	г. Томск, Вершинина пр-д, 7<br />	8 (3822) 41-67-57 (Доманов Александр Владимирович), 8 (3822) 43-32-96 (Слесарева Диана Павловна)	56.472715	84.962713	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
СЧ г. Красноярска	53145	г. Красноярск, мкр. Солнечный, ул. 40 лет Победы, 15<br />	(391) 225-92-55 (Начальник части - Романов О.В.)	56.110967	92.928893	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Специализированная часть по тушению  крупных пожаров №8	53147	г. Чита, ул. Кирова, 2<br />	Малышев Вадим Владимирович	52.020774	113.539928	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ №1	53149	г.Горно-Алтайск, ул. Павла Кучияк, 9	8 (388-22)-2-41-80 (Начальник ПЧ №1 - м-р вн.сл. Трапеев Евгений Олегович)	51.961101	85.966904	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-2 ФГКУ «5 ОФПС по РС (Я)»	54171	г. Якутск, ул. Вилюйский тракт, 5-й км	8(4112)36-94-49, 36-92-63 (Начальник части, подполковник в/с, Мироненко Владимир Иванович Зам. начальника части, майор в/с, Михайлов Павел Степанович)	62.028191	129.701779	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-3 ФГКУ «5 ОФПС по РС (Я)»	54173	г. Якутск, ул. Маганский тракт, 2-й км	8(4112)20-42-33 (Начальник части, майор в/с, Подваркин Юрий Александрович, Зам. начальника части, майор в/с, Попов Александр Семенович)	62.028191	129.701779	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ФГБОУ ДПО &quot;Учебный центр ФПС  по Новосибирской области&quot;	53161	ул. Приморская, 43	232-74-35 (Шестопалов Сергей Викторович)	54.868000	82.989699	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
Пожарная часть по охране объектов ТГУ	53165	г. Томск, Московский тракт, 109/4<br />	8 (3822) 41-50-31 (Андреев Дмитрий Фёдорович), 8 (3822) 43-32-96 (Слесарева Диана Павловна)	56.459890	84.938180	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
ПЧ-1 г. Краснояска	53167	г. Краснояск, ул. Ленина, 59	(391) 227-04-09 (Зам. начальника части Гаманюк В.Г.)	56.013351	92.873529	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
2 ПЧ г. Омск	53169	г. Омск, ул. 24-я Северная, 172в	8-(3812) 31-83-33 (Начальник части Чириков А. А.)	55.023150	73.384148	0	 undefined	" ""/images/pojarka_small.png"""	 80	 58
